,Acidity,Aroma,Flavor,Sweetness,altitude_mean_meters,Country,altitude_low_meters,altitude_high_meters,TotalCupPoints
44,8.0,8.08,8.08,10.0,1754.0,Kenya,1754.0,1754.0,86.08
45,8.0,8.33,8.0,10.0,1250.0,Brazil,1250.0,1250.0,86.08
47,8.08,7.75,7.92,10.0,1200.0,Colombia,900.0,1500.0,86.0
48,8.5,7.92,8.17,10.0,1860.0,Kenya,1520.0,2200.0,86.0
49,8.08,8.25,8.0,10.0,1650.0,Uganda,1400.0,1900.0,86.0
50,8.25,7.75,8.08,10.0,1750.0,Ethiopia,1500.0,2000.0,86.0
51,8.0,8.33,8.17,10.0,426.72,United States (Hawaii),426.72,426.72,86.0
53,8.08,8.17,8.17,10.0,1650.0,Uganda,1400.0,1900.0,85.92
54,8.17,8.0,8.0,10.0,1800.0,Colombia,1800.0,1800.0,85.92
55,8.08,8.0,8.0,10.0,1600.0,Panama,1600.0,1600.0,85.83
56,8.08,7.83,8.08,10.0,1900.0,Ethiopia,1800.0,2000.0,85.83
57,8.17,7.83,8.0,10.0,1524.0,Guatemala,1524.0,1524.0,85.83
58,8.33,8.0,8.0,10.0,1417.32,Guatemala,1417.32,1417.32,85.83
61,8.33,8.33,8.42,10.0,1700.0,Papua New Guinea,1700.0,1700.0,85.75
62,7.92,7.92,8.17,10.0,1500.0,El Salvador,1500.0,1500.0,85.58
63,7.75,7.83,8.0,10.0,1350.0,El Salvador,1300.0,1400.0,85.58
65,7.83,8.0,7.75,10.0,1680.0,Panama,1680.0,1680.0,85.5
66,8.08,7.92,7.92,10.0,1900.0,Kenya,1900.0,1900.0,85.5
67,7.92,7.83,8.0,10.0,1900.0,Ethiopia,1800.0,2000.0,85.5
68,7.92,8.33,7.92,10.0,1600.0,Uganda,1600.0,1600.0,85.5
69,8.33,8.0,7.83,10.0,1731.264,Guatemala,1706.88,1755.648,85.5
70,8.17,7.75,7.83,10.0,1900.0,Ethiopia,1800.0,2000.0,85.42
71,7.67,8.08,8.0,10.0,1950.0,Uganda,1950.0,1950.0,85.42
73,7.67,8.0,8.0,10.0,1250.0,Brazil,1250.0,1250.0,85.42
74,8.08,8.08,7.83,10.0,1400.0,El Salvador,1400.0,1400.0,85.42
75,7.83,8.0,8.0,10.0,1700.0,China,1700.0,1700.0,85.33
76,7.67,7.83,7.75,10.0,1770.0,Guatemala,1770.0,1770.0,85.33
77,7.92,7.92,8.08,9.33,1300.0,Costa Rica,1300.0,1300.0,85.33
78,7.67,8.0,7.58,10.0,1300.0,Costa Rica,1300.0,1300.0,85.33
79,8.08,7.83,8.08,10.0,1600.0,Kenya,1600.0,1600.0,85.33
80,8.08,8.0,7.92,10.0,1200.0,Kenya,1200.0,1200.0,85.33
84,8.0,8.17,7.92,10.0,1550.0,Colombia,1550.0,1550.0,85.25
85,7.83,7.58,8.08,10.0,1550.0,Colombia,1550.0,1550.0,85.25
86,8.0,7.75,7.83,10.0,1325.0,Indonesia,1250.0,1400.0,85.17
87,7.92,8.25,8.0,10.0,1400.0,Guatemala,1400.0,1400.0,85.17
89,8.08,8.17,7.83,10.0,2560.0,Colombia,2560.0,2560.0,85.08
90,8.0,8.42,8.0,10.0,1700.0,Ethiopia,1700.0,1700.0,85.08
92,7.75,7.83,8.0,10.0,2136.0,Colombia,2136.0,2136.0,85.08
96,7.75,8.17,7.92,10.0,1800.0,Uganda,1800.0,1800.0,85.0
98,7.92,7.83,8.0,10.0,1900.0,Costa Rica,1900.0,1900.0,85.0
99,7.75,7.83,8.0,10.0,1300.0,Mexico,1300.0,1300.0,85.0
100,7.75,8.17,7.83,10.0,1.0,Kenya,1.0,1.0,85.0
101,8.08,7.75,7.83,10.0,1580.0,Kenya,1580.0,1580.0,85.0
102,7.83,8.0,8.0,10.0,1100.0,Brazil,1100.0,1100.0,85.0
103,8.08,7.92,8.17,10.0,1400.0,Mexico,1400.0,1400.0,85.0
105,8.0,7.83,8.08,10.0,1325.88,Guatemala,1066.8,1584.96,85.0
107,7.83,7.92,7.83,10.0,1775.0,Colombia,1600.0,1950.0,84.92
108,7.58,7.67,7.83,10.0,800.0,Taiwan,800.0,800.0,84.92
109,7.92,8.0,7.83,10.0,1620.0,"Tanzania, United Republic Of",1620.0,1620.0,84.92
110,7.75,7.75,7.92,10.0,1775.0,Colombia,1600.0,1950.0,84.92
111,7.83,7.75,8.0,10.0,1200.0,Mexico,1200.0,1200.0,84.92
112,7.75,8.0,7.92,10.0,1200.0,Brazil,1200.0,1200.0,84.92
113,8.0,8.0,8.0,10.0,1000.0,Brazil,1000.0,1000.0,84.92
115,7.83,7.92,7.58,10.0,350.0,Taiwan,350.0,350.0,84.83
116,7.67,7.75,7.92,10.0,1650.0,Uganda,1400.0,1900.0,84.83
118,7.92,7.75,7.92,10.0,1750.0,Ethiopia,1500.0,2000.0,84.83
119,8.0,7.42,7.92,10.0,1750.0,Ethiopia,1500.0,2000.0,84.83
121,7.92,7.92,7.83,10.0,1800.0,Kenya,1800.0,1800.0,84.75
122,7.67,7.83,7.75,10.0,1450.0,Honduras,1450.0,1450.0,84.75
123,8.33,7.75,8.0,9.33,1200.0,El Salvador,1200.0,1200.0,84.75
124,7.83,7.83,7.58,10.0,925.0,Nicaragua,800.0,1050.0,84.75
125,8.0,7.83,7.83,10.0,1350.0,El Salvador,1350.0,1350.0,84.67
126,7.75,7.92,7.83,10.0,1200.0,Indonesia,1200.0,1200.0,84.67
127,7.42,7.75,7.75,10.0,170.0,Japan,170.0,170.0,84.67
128,7.83,8.08,7.75,10.0,1150.0,Costa Rica,1150.0,1150.0,84.67
129,8.0,7.75,7.83,10.0,1600.0,Guatemala,1600.0,1600.0,84.67
130,7.17,8.17,8.0,10.0,1750.0,Costa Rica,1750.0,1750.0,84.67
131,7.83,8.08,7.83,10.0,1900.0,Ethiopia,1900.0,1900.0,84.67
132,7.75,7.67,7.58,10.0,1750.0,Costa Rica,1750.0,1750.0,84.67
133,7.75,8.0,7.58,10.0,1200.0,Costa Rica,1200.0,1200.0,84.67
135,7.75,8.0,7.92,10.0,1000.0,Taiwan,1000.0,1000.0,84.67
136,7.83,7.75,7.83,10.0,1550.0,Colombia,1550.0,1550.0,84.67
137,8.0,7.75,7.92,10.0,2000.0,Kenya,2000.0,2000.0,84.67
138,7.83,8.0,7.83,10.0,1310.64,Guatemala,1310.64,1310.64,84.67
139,8.0,7.67,7.83,10.0,1524.0,Guatemala,1524.0,1524.0,84.67
140,7.92,7.83,7.58,10.0,1200.0,Mexico,1200.0,1200.0,84.67
141,7.92,7.92,7.83,10.0,1775.0,Uganda,1700.0,1850.0,84.67
143,8.0,7.42,7.75,10.0,1750.0,Ethiopia,1500.0,2000.0,84.67
144,7.75,7.92,7.75,10.0,1754.0,Kenya,1754.0,1754.0,84.58
145,7.92,7.83,7.67,10.0,1500.0,Colombia,1500.0,1500.0,84.58
147,7.75,7.83,7.83,10.0,1800.0,Kenya,1800.0,1800.0,84.58
148,7.92,7.75,7.83,10.0,1524.0,Guatemala,1524.0,1524.0,84.58
149,7.58,8.0,7.92,10.0,1219.2,Guatemala,1219.2,1219.2,84.58
150,7.75,7.67,7.67,10.0,1550.0,Colombia,1550.0,1550.0,84.58
151,7.75,7.75,7.75,10.0,1750.0,Colombia,1600.0,1900.0,84.58
153,8.0,7.67,7.83,10.0,1750.0,Colombia,1750.0,1750.0,84.58
154,8.0,7.75,7.83,10.0,1575.0,Costa Rica,1450.0,1700.0,84.58
155,7.75,7.42,7.67,10.0,1800.0,Colombia,1800.0,1800.0,84.58
156,7.75,8.0,8.0,10.0,1300.0,Brazil,1300.0,1300.0,84.58
157,7.75,8.5,8.0,10.0,1100.0,Brazil,1100.0,1100.0,84.58
158,7.75,7.92,7.67,10.0,1200.0,Costa Rica,1200.0,1200.0,84.5
159,7.75,7.92,7.75,10.0,1750.0,Uganda,1750.0,1750.0,84.5
160,7.83,7.75,7.92,10.0,1680.0,China,1680.0,1680.0,84.5
161,7.83,7.92,7.83,10.0,1700.0,Costa Rica,1700.0,1700.0,84.5
162,7.83,8.08,7.67,10.0,1800.0,Colombia,1800.0,1800.0,84.5
163,7.83,7.67,8.0,10.0,1100.0,China,1100.0,1100.0,84.5
164,7.83,8.17,7.83,10.0,1310.64,Guatemala,1310.64,1310.64,84.5
165,8.0,7.92,7.83,10.0,2000.0,Kenya,2000.0,2000.0,84.5
166,8.08,8.0,7.92,10.0,1350.0,Mexico,1350.0,1350.0,84.5
167,7.75,7.92,7.83,10.0,1500.0,Mexico,1500.0,1500.0,84.5
171,8.0,7.58,7.83,10.0,1300.0,Costa Rica,1300.0,1300.0,84.42
172,7.58,7.67,7.67,10.0,1400.0,Indonesia,1400.0,1400.0,84.42
174,7.92,7.92,7.75,10.0,1775.0,Colombia,1600.0,1950.0,84.42
175,8.0,7.83,7.83,10.0,1200.0,Taiwan,1200.0,1200.0,84.42
177,7.67,7.75,7.92,10.0,900.0,Mexico,900.0,900.0,84.42
179,7.75,7.33,7.58,10.0,1800.0,Kenya,1800.0,1800.0,84.33
180,7.67,7.92,8.0,10.0,1500.0,Honduras,1500.0,1500.0,84.33
182,7.75,7.58,7.92,10.0,1500.0,Honduras,1500.0,1500.0,84.33
184,7.67,7.75,7.67,10.0,442.0,Colombia,442.0,442.0,84.33
185,7.83,7.75,7.58,10.0,1800.0,Colombia,1800.0,1800.0,84.33
186,7.83,8.0,7.75,10.0,1700.0,Mexico,1700.0,1700.0,84.33
187,7.75,8.17,8.0,10.0,1275.0,Brazil,1200.0,1350.0,84.33
188,7.5,8.0,8.0,10.0,1050.0,Brazil,900.0,1200.0,84.33
189,7.75,7.75,7.75,10.0,1493.52,Ethiopia,1097.28,1889.76,84.33
190,7.67,7.5,7.67,10.0,1386.84,Guatemala,1341.12,1432.56,84.33
191,7.67,7.92,7.75,10.0,1000.0,Taiwan,1000.0,1000.0,84.25
192,7.42,7.83,7.75,10.0,1200.0,Thailand,1200.0,1200.0,84.25
193,7.58,7.83,7.58,10.0,2560.0,Colombia,2560.0,2560.0,84.25
194,7.92,7.75,7.75,10.0,1500.0,Guatemala,1500.0,1500.0,84.25
195,8.08,7.75,7.92,10.0,1099.4136,Guatemala,1099.4136,1099.4136,84.25
196,7.75,7.83,7.83,10.0,1400.0,China,1400.0,1400.0,84.25
197,7.75,7.67,7.67,10.0,1775.0,Colombia,1600.0,1950.0,84.25
198,7.58,7.83,7.67,10.0,1775.0,Colombia,1600.0,1950.0,84.25
199,7.58,7.83,7.75,10.0,1800.0,Colombia,1800.0,1800.0,84.25
200,7.75,7.42,7.67,10.0,442.0,Colombia,442.0,442.0,84.25
201,7.83,7.83,7.67,10.0,1620.0,"Tanzania, United Republic Of",1620.0,1620.0,84.25
202,7.75,7.83,7.75,10.0,1600.0,"Tanzania, United Republic Of",1600.0,1600.0,84.25
203,7.92,7.83,7.83,10.0,1219.2,Guatemala,1219.2,1219.2,84.25
204,7.83,7.58,7.5,10.0,1700.0,Colombia,1700.0,1700.0,84.25
206,7.83,7.83,7.92,10.0,1450.0,Mexico,1450.0,1450.0,84.25
207,7.67,7.83,7.83,10.0,1170.0,Mexico,1170.0,1170.0,84.25
208,7.75,7.83,7.92,10.0,1400.0,Mexico,1400.0,1400.0,84.25
209,7.67,8.17,7.75,10.0,1700.0,Uganda,1700.0,1700.0,84.25
210,7.83,7.75,7.83,10.0,1700.0,Guatemala,1700.0,1700.0,84.17
212,7.67,7.92,7.75,10.0,1700.0,Costa Rica,1700.0,1700.0,84.17
213,8.0,7.75,7.75,10.0,1116.7872,Guatemala,1116.7872,1116.7872,84.17
214,7.92,7.75,7.92,10.0,1565.0,Guatemala,1565.0,1565.0,84.17
215,7.83,7.58,7.83,10.0,3280.0,Guatemala,3280.0,3280.0,84.17
216,7.67,8.0,7.5,10.0,1775.0,Colombia,1600.0,1950.0,84.17
217,7.5,7.67,7.83,10.0,1000.0,Nicaragua,900.0,1100.0,84.17
218,7.67,7.67,7.75,10.0,1150.0,Brazil,1150.0,1150.0,84.17
219,7.75,7.67,7.75,10.0,1850.0,Costa Rica,1850.0,1850.0,84.17
220,7.83,7.5,7.92,10.0,1606.5,Ethiopia,1545.0,1668.0,84.17
221,7.75,7.92,7.75,10.0,1400.0,"Tanzania, United Republic Of",1400.0,1400.0,84.17
222,7.42,7.67,7.5,10.0,1530.0,Colombia,1530.0,1530.0,84.17
224,7.75,7.58,7.75,10.0,250.5,Kenya,1.0,500.0,84.17
225,7.67,7.58,7.83,10.0,1038.5,Brazil,894.0,1183.0,84.17
226,7.67,7.92,7.75,10.0,1310.64,Guatemala,1310.64,1310.64,84.17
227,7.17,8.42,8.08,10.0,1500.0,El Salvador,1500.0,1500.0,84.17
228,7.75,7.75,7.75,10.0,1750.0,Colombia,1750.0,1750.0,84.17
230,7.83,7.83,7.75,10.0,1600.0,Uganda,1500.0,1700.0,84.17
232,7.5,7.83,7.5,10.0,442.0,Colombia,442.0,442.0,84.08
233,7.67,7.58,7.67,10.0,968.0,Taiwan,968.0,968.0,84.08
235,7.75,7.92,7.75,10.0,1775.0,Colombia,1600.0,1950.0,84.08
236,8.0,7.58,7.75,10.0,1550.0,Guatemala,1550.0,1550.0,84.08
238,7.75,7.67,7.75,10.0,1480.0,Mexico,1480.0,1480.0,84.08
239,8.0,7.92,7.92,8.67,1800.0,Ethiopia,1800.0,1800.0,84.08
241,7.75,7.83,7.75,10.0,1800.0,Ethiopia,1800.0,1800.0,84.0
242,7.92,7.42,7.83,10.0,1500.0,Honduras,1500.0,1500.0,84.0
243,7.92,7.67,7.83,10.0,1706.88,Guatemala,1658.112,1755.648,84.0
244,7.58,7.67,7.67,10.0,1600.0,Colombia,1600.0,1600.0,84.0
245,7.92,7.92,7.67,10.0,1219.2,Guatemala,1219.2,1219.2,84.0
246,7.83,7.75,7.83,10.0,1219.2,Guatemala,1219.2,1219.2,84.0
247,7.67,7.67,7.75,10.0,1480.0,Colombia,1480.0,1480.0,84.0
248,7.92,7.58,7.42,10.0,1450.0,Colombia,1450.0,1450.0,84.0
249,7.5,7.67,7.67,10.0,1775.0,Colombia,1600.0,1950.0,84.0
250,7.58,7.75,7.75,10.0,1550.0,Ethiopia,1550.0,1550.0,84.0
251,7.25,7.58,7.83,10.0,1260.0,Brazil,1260.0,1260.0,84.0
252,7.75,7.67,7.83,10.0,1700.0,Colombia,1700.0,1700.0,84.0
253,7.75,7.67,7.83,10.0,1200.0,Kenya,1200.0,1200.0,84.0
255,7.75,7.67,7.75,10.0,1650.0,Kenya,1650.0,1650.0,84.0
256,7.67,7.92,7.75,10.0,1700.0,Uganda,1700.0,1700.0,84.0
258,7.5,7.5,7.75,10.0,890.0,Brazil,890.0,890.0,83.92
259,7.92,7.83,7.83,10.0,1300.0,Mexico,1300.0,1300.0,83.92
260,7.67,7.67,7.75,10.0,1350.0,Thailand,1350.0,1350.0,83.92
261,7.75,7.58,7.67,10.0,934.0,Brazil,934.0,934.0,83.92
262,7.75,7.83,7.75,10.0,1200.0,Taiwan,1200.0,1200.0,83.92
263,7.75,7.75,7.67,10.0,442.0,Colombia,442.0,442.0,83.92
268,7.83,7.75,7.58,10.0,1775.0,Colombia,1600.0,1950.0,83.92
269,7.92,8.0,7.92,10.0,950.0,Taiwan,950.0,950.0,83.92
270,7.75,7.67,7.83,10.0,1550.0,Colombia,1550.0,1550.0,83.92
271,7.67,7.67,7.75,10.0,900.0,Mexico,900.0,900.0,83.92
272,7.83,7.5,7.67,10.0,1500.0,Mexico,1500.0,1500.0,83.92
273,7.92,7.75,7.92,10.0,1400.0,Mexico,1400.0,1400.0,83.92
274,7.83,7.92,7.58,10.0,2527.0,Colombia,2527.0,2527.0,83.83
276,7.67,7.67,7.67,10.0,1850.0,Costa Rica,1850.0,1850.0,83.83
277,7.75,7.75,7.75,10.0,1500.0,Guatemala,1500.0,1500.0,83.83
278,7.75,7.75,7.67,10.0,1200.0,Taiwan,1200.0,1200.0,83.83
279,8.0,7.25,7.58,10.0,1.0,Brazil,1.0,1.0,83.83
280,7.75,7.67,7.75,10.0,525.0,Taiwan,480.0,570.0,83.83
281,7.67,7.75,7.75,10.0,1676.5,Ethiopia,1650.0,1703.0,83.83
282,7.5,7.67,7.67,9.33,1200.0,Brazil,1200.0,1200.0,83.83
283,7.83,7.83,7.42,10.0,1300.0,Costa Rica,1200.0,1400.0,83.83
284,8.0,7.58,7.83,10.0,1219.2,Guatemala,1219.2,1219.2,83.83
285,7.67,7.92,7.5,10.0,1260.0,Brazil,1260.0,1260.0,83.83
286,7.75,7.5,7.67,10.0,800.0,Ecuador,800.0,800.0,83.83
287,7.83,7.67,7.58,10.0,1750.0,Colombia,1750.0,1750.0,83.83
288,7.83,7.5,7.83,10.0,1310.64,Guatemala,1310.64,1310.64,83.83
289,7.42,7.67,8.0,10.0,1218.0,Mexico,1218.0,1218.0,83.83
290,7.75,7.67,7.58,10.0,1300.0,Mexico,1300.0,1300.0,83.83
291,7.67,7.83,7.83,10.0,1250.0,Brazil,1250.0,1250.0,83.83
292,8.0,7.75,7.75,10.0,1499.9208,Thailand,1499.9208,1499.9208,83.83
295,7.58,7.75,7.58,10.0,1800.0,Kenya,1800.0,1800.0,83.75
296,7.75,7.67,7.67,10.0,890.0,Brazil,890.0,890.0,83.75
297,7.58,7.83,7.83,10.0,442.0,Colombia,442.0,442.0,83.75
298,7.58,7.67,7.67,10.0,750.0,Taiwan,750.0,750.0,83.75
300,7.5,7.83,7.75,10.0,1650.0,China,1650.0,1650.0,83.75
301,7.67,7.75,7.67,10.0,442.0,Colombia,442.0,442.0,83.75
302,7.75,8.0,7.92,10.0,1400.0,Uganda,1400.0,1400.0,83.75
303,7.67,7.83,7.83,10.0,853.44,United States (Puerto Rico),853.44,853.44,83.75
304,7.92,7.67,7.67,10.0,1775.0,Colombia,1600.0,1950.0,83.75
305,7.42,7.67,7.42,10.0,1550.0,Colombia,1500.0,1600.0,83.75
306,7.67,7.58,7.67,10.0,1750.0,Colombia,1750.0,1750.0,83.75
307,7.58,7.75,7.67,10.0,1750.0,Colombia,1750.0,1750.0,83.75
309,7.5,7.83,7.58,10.0,700.0,Mexico,700.0,700.0,83.75
310,7.67,7.67,7.58,10.0,1300.0,Guatemala,1300.0,1300.0,83.75
311,7.33,7.83,7.83,10.0,1600.0,Colombia,1600.0,1600.0,83.75
312,7.25,7.75,7.67,10.0,1600.0,Colombia,1600.0,1600.0,83.75
314,7.67,7.67,7.83,10.0,890.0,Brazil,890.0,890.0,83.67
315,7.58,8.08,7.67,10.0,1700.0,Kenya,1700.0,1700.0,83.67
316,7.67,7.5,7.5,10.0,1400.0,Honduras,1400.0,1400.0,83.67
317,7.67,7.67,7.75,10.0,1250.0,Nicaragua,1250.0,1250.0,83.67
318,7.75,7.58,7.75,10.0,934.0,Brazil,934.0,934.0,83.67
319,7.92,7.5,7.67,10.0,1200.0,Taiwan,1200.0,1200.0,83.67
320,7.5,7.33,7.67,10.0,1350.0,Costa Rica,1350.0,1350.0,83.67
321,7.83,7.5,7.75,10.0,800.0,Thailand,800.0,800.0,83.67
322,7.75,7.5,7.75,10.0,1625.0,Colombia,1550.0,1700.0,83.67
323,8.0,8.0,7.5,10.0,1356.6648,Guatemala,1356.6648,1356.6648,83.67
324,7.58,7.83,7.75,10.0,1750.0,Colombia,1750.0,1750.0,83.67
325,7.67,7.67,7.67,10.0,1900.0,Colombia,1800.0,2000.0,83.67
326,7.67,7.67,7.67,10.0,1310.64,Guatemala,1310.64,1310.64,83.67
327,7.67,7.83,7.67,10.0,1310.64,Guatemala,1310.64,1310.64,83.67
328,7.83,7.75,7.75,10.0,1750.0,Colombia,1750.0,1750.0,83.67
329,7.67,8.17,8.17,9.33,1450.0,Guatemala,1450.0,1450.0,83.67
330,7.42,7.67,8.17,10.0,1310.64,Guatemala,1310.64,1310.64,83.67
331,7.33,7.67,7.5,10.0,1100.0,Mexico,1100.0,1100.0,83.67
332,7.58,8.17,7.67,10.0,1400.0,Indonesia,1200.0,1600.0,83.67
333,8.0,7.67,7.5,10.0,1524.0,Guatemala,1524.0,1524.0,83.67
335,7.58,7.58,7.67,10.0,890.0,Brazil,890.0,890.0,83.58
336,7.83,7.75,7.75,10.0,1128.3696,Guatemala,1128.3696,1128.3696,83.58
338,7.58,7.67,7.58,10.0,1100.0,China,1100.0,1100.0,83.58
339,7.67,7.67,7.75,10.0,1775.0,Colombia,1600.0,1950.0,83.58
340,7.58,7.75,7.75,10.0,1200.0,Mexico,1200.0,1200.0,83.58
341,7.67,7.75,7.67,10.0,1850.0,Ethiopia,1700.0,2000.0,83.58
342,7.75,7.67,7.67,10.0,1800.0,Uganda,1800.0,1800.0,83.58
343,7.67,7.67,7.58,10.0,1600.0,Colombia,1600.0,1600.0,83.58
344,7.58,7.67,7.58,10.0,1550.0,Colombia,1550.0,1550.0,83.58
345,7.58,7.75,7.58,10.0,1550.0,Colombia,1550.0,1550.0,83.58
346,7.75,7.75,7.75,10.0,1000.0,Taiwan,1000.0,1000.0,83.58
347,7.67,7.67,7.67,10.0,1775.0,Colombia,1600.0,1950.0,83.58
348,7.58,7.83,7.67,10.0,1000.0,Mexico,1000.0,1000.0,83.58
349,7.58,7.67,7.58,10.0,2136.0,Colombia,2136.0,2136.0,83.58
350,7.75,7.83,7.75,10.0,1100.0,Brazil,1100.0,1100.0,83.58
351,7.75,7.75,7.58,10.0,1799.0,Colombia,1799.0,1799.0,83.5
353,7.67,7.92,7.42,10.0,1850.0,Costa Rica,1850.0,1850.0,83.5
354,7.5,7.75,7.58,10.0,1000.0,Colombia,1000.0,1000.0,83.5
355,7.83,7.67,7.75,10.0,1219.2,Guatemala,1219.2,1219.2,83.5
356,7.58,7.58,7.58,10.0,1775.0,Colombia,1600.0,1950.0,83.5
357,7.67,7.75,7.67,10.0,1400.0,"Tanzania, United Republic Of",1400.0,1400.0,83.5
358,7.92,7.25,7.67,10.0,1500.0,Indonesia,1500.0,1500.0,83.5
359,7.58,7.67,7.75,10.0,1600.0,Ethiopia,1600.0,1600.0,83.5
361,7.58,8.0,7.58,10.0,1850.0,Colombia,1850.0,1850.0,83.5
362,7.83,7.58,7.75,10.0,1400.0,Guatemala,1400.0,1400.0,83.5
363,7.5,7.75,7.58,10.0,1650.0,Colombia,1650.0,1650.0,83.5
364,7.5,7.67,7.5,10.0,1350.0,Honduras,1350.0,1350.0,83.5
365,7.67,7.58,7.75,10.0,1750.0,Colombia,1750.0,1750.0,83.5
366,7.75,7.58,7.67,10.0,1750.0,Colombia,1750.0,1750.0,83.5
367,7.5,7.83,7.58,10.0,1170.0,Mexico,1170.0,1170.0,83.5
368,7.75,7.67,7.75,10.0,940.0,Mexico,940.0,940.0,83.5
369,7.75,7.75,7.67,10.0,1400.0,Mexico,1400.0,1400.0,83.5
370,8.0,7.83,7.5,10.0,1524.0,Guatemala,1524.0,1524.0,83.5
371,7.67,7.67,7.58,10.0,1775.0,Colombia,1600.0,1950.0,83.5
372,7.5,7.5,7.5,10.0,1402.08,Guatemala,1402.08,1402.08,83.5
374,7.58,7.83,7.58,10.0,1600.0,Indonesia,1600.0,1600.0,83.5
375,7.5,7.5,7.58,10.0,439.0,Colombia,439.0,439.0,83.42
376,7.58,7.67,7.75,10.0,1700.0,Guatemala,1700.0,1700.0,83.42
377,7.67,7.67,7.67,10.0,442.0,Colombia,442.0,442.0,83.42
378,7.92,7.58,7.5,10.0,1850.0,Costa Rica,1850.0,1850.0,83.42
380,7.75,7.58,7.75,10.0,1800.0,Uganda,1800.0,1800.0,83.42
381,7.5,7.5,7.58,10.0,1200.0,Thailand,1200.0,1200.0,83.42
382,7.58,7.58,7.5,10.0,1330.0,El Salvador,1330.0,1330.0,83.42
383,7.67,7.58,7.67,10.0,442.0,Colombia,442.0,442.0,83.42
385,7.67,7.75,7.67,10.0,1600.0,"Tanzania, United Republic Of",1600.0,1600.0,83.42
386,7.75,7.58,7.58,10.0,1813.0,Colombia,1813.0,1813.0,83.42
387,7.83,7.75,7.83,10.0,1219.2,Guatemala,1219.2,1219.2,83.42
388,7.83,7.67,7.75,10.0,1500.0,Guatemala,1500.0,1500.0,83.42
389,7.42,7.67,7.5,10.0,1310.64,Guatemala,1310.64,1310.64,83.42
391,7.5,7.5,7.75,10.0,1450.0,Colombia,1450.0,1450.0,83.42
395,7.63,7.25,7.88,10.0,1050.0,Mexico,900.0,1200.0,83.38
396,7.58,7.75,7.5,10.0,1650.0,Colombia,1650.0,1650.0,83.33
399,7.58,7.5,7.83,10.0,1227.0,Brazil,1227.0,1227.0,83.33
400,7.67,7.75,7.75,10.0,1200.0,Mexico,1200.0,1200.0,83.33
401,7.83,7.67,7.75,10.0,1650.0,Colombia,1650.0,1650.0,83.33
